,zipcode,% Foreign,% Uninsured,% Vehicle Access,% Food Stamps,% Teen Birth Rate,Urban
75,10472,24.163428637708048,16.956156121324597,52.78683434249341,31.543234935916022,35.4,1
76,10473,10.152382801125883,8.319583292892037,32.291435421569055,33.818628878320226,24.3,1
77,10474,27.155475650746503,15.969670913780973,48.40465001236706,27.687016337059326,34.9,1
78,10475,7.526425171512213,5.119667478602874,28.25046040515653,41.70819459652729,11.7,1
79,10501,1.3866231647634584,1.5497553017944536,0.0,31.40293637846656,0.0,1
80,10502,7.709051333212407,4.788681298748413,0.4209049456331112,34.08307636495556,0.0,1
81,10504,3.1760091104643804,2.6192585094268,0.5201204489460717,32.5066430469442,0.0,1
82,10505,0.4419889502762431,4.530386740331491,0.0,32.928176795580114,,1
83,10506,2.716753312091229,0.9894348482307562,0.0,32.886131142042586,0.0,1
84,10507,18.44292170870389,12.552850269718617,2.1144278606965177,30.19390581717452,7.0,1
85,10509,8.635872084041402,10.62361604614038,5.675995270003941,34.7906689324888,6.3,1
86,10510,2.1682816847356805,2.350570852921424,0.5521201413427562,33.25338194377818,0.0,1
87,10511,5.965532479010164,4.4631020768890854,2.2015241320914485,35.660627485638535,6.6,1
88,10512,3.493380124421757,5.854203222204497,2.4113594353890098,36.401339926623066,4.3,1
89,10514,4.295397225725093,2.151639344262295,0.25862068965517243,31.11601513240857,0.0,1
90,10516,2.9894276339773973,4.702880058330295,3.2402619786280584,39.55523149835946,0.0,1
91,10518,0.9472259810554804,4.465493910690121,0.0,33.42354533152909,0.0,1
92,10520,5.899820270375869,5.899820270375869,1.7895255294697094,40.69703836836759,0.0,1
93,10522,7.60535359016097,5.995659251220835,1.9213503321960848,33.27907397359377,2.1,1
94,10523,19.98233605652462,14.683153013910356,1.6686069072564995,30.503422389048357,7.9,1
95,10524,4.029990627928772,3.701968134957825,0.4575495678698526,34.06747891283974,0.0,1
96,10526,0.657030223390276,0.3942181340341656,2.2222222222222223,40.34165571616296,0.0,1
97,10527,0.11961722488038275,1.9138755980861244,0.0,33.01435406698565,18.5,1
98,10528,18.42185825807439,4.0792897596816164,3.61088211046991,35.12168988213684,1.6,1
99,10530,9.28125,4.0546875,3.584960652870884,44.828125,1.3,1
100,10532,3.407053197848177,2.251444510858737,0.4334633723450369,33.11416616855947,0.0,1
101,10533,4.664031620553359,1.6337285902503291,0.7508342602892102,34.13702239789196,0.0,1
102,10535,0.0,0.0,0.0,38.83211678832117,,1
103,10536,4.213457076566125,2.5707656612529,1.812807881773399,32.102088167053374,0.8,1
